"espece_id","section","subsection","champ","valeur","ordre","doctrine","activation_status"
"OURS_NOIR","classification","","famille","Ursidae","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"OURS_NOIR","classification","","genre","Ursus","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"OURS_NOIR","classification","","espece","americanus","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"OURS_NOIR","classification","","nom_scientifique","Ursus americanus","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"OURS_NOIR","comportements_saisonniers","printemps","deplacements","","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"OURS_NOIR","comportements_saisonniers","printemps","alimentation","sortie d’hibernation, recherche de nourriture riche en protéines","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"OURS_NOIR","comportements_saisonniers","printemps","reproduction","","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"OURS_NOIR","comportements_saisonniers","printemps","habitat","","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"OURS_NOIR","comportements_saisonniers","ete","thermoregulation","","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"OURS_NOIR","comportements_saisonniers","ete","habitat","","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"OURS_NOIR","comportements_saisonniers","ete","alimentation","déplacements accrus, alimentation variée (fruits, insectes, végétaux)","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"OURS_NOIR","comportements_saisonniers","automne","rut","hyperphagie pré-hibernation, déplacements intensifs","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"OURS_NOIR","comportements_saisonniers","automne","hyperphagie","hyperphagie pré-hibernation, déplacements intensifs","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"OURS_NOIR","comportements_saisonniers","automne","deplacements","hyperphagie pré-hibernation, déplacements intensifs","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"OURS_NOIR","comportements_saisonniers","hiver","ravages","","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"OURS_NOIR","comportements_saisonniers","hiver","zones_refuge","hibernation (durée variable selon latitude)","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"OURS_NOIR","comportements_saisonniers","hiver","mobilite","","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"OURS_NOIR","habitat","","types_couverts","forêts mixtes","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"OURS_NOIR","habitat","","types_couverts","zones de régénération forestière","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"OURS_NOIR","habitat","","types_couverts","milieux humides","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"OURS_NOIR","habitat","","types_couverts","zones de transition forêt-agriculture","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"OURS_NOIR","habitat","","types_couverts","pentes abritées pour tanières","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"OURS_NOIR","habitat","","mosaiques_foret_agriculture","zones de transition forêt-agriculture","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"OURS_NOIR","habitat","","zones_humides","milieux humides","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"OURS_NOIR","habitat","","zones_thermiques","","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"OURS_NOIR","habitat","","zones_ouvertes","","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"OURS_NOIR","habitat","","zones_matures","","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"OURS_NOIR","habitat","","zones_transition","zones de transition forêt-agriculture","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
