"espece_id","engine_marker","code_param","section","parametre","valeur_engine","statut_audit_bce4x","phase","doctrine","directive","activation_status","v30_locked","generated_at_utc"
"ORIGNAL","ENGINE_ESPECE_ORIGNAL_Ω","A01","scientifique","comportements_saisonniers","Codé via dimensions_scientifiques + scoring saisonnier (cf. compute scoring nutrition / hyperphagie / ravages)","ACCEPTÉ","PHASE_XII_ESPECES_Ω","BCE-4X_ULTIME_ABSOLU","EXTRACTION_COMPLÈTE_ENGINES_ESPECES_Ω_V2","EN_ATTENTE_VALIDATION_COMMANDANT","TRUE","2026-04-29T03:20:22+00:00"
"ORIGNAL","ENGINE_ESPECE_ORIGNAL_Ω","A02","scientifique","corridors_deplacement","corridors_deplacement explicite — couches CORRIDORS_ORIGNAL","ACCEPTÉ","PHASE_XII_ESPECES_Ω","BCE-4X_ULTIME_ABSOLU","EXTRACTION_COMPLÈTE_ENGINES_ESPECES_Ω_V2","EN_ATTENTE_VALIDATION_COMMANDANT","TRUE","2026-04-29T03:20:22+00:00"
"ORIGNAL","ENGINE_ESPECE_ORIGNAL_Ω","A03","scientifique","habitat_zones_ecologiques","habitat + zones critiques — couches HABITAT_THERMIQUE_ORIGNAL, RAVAGES_ORIGNAL","ACCEPTÉ","PHASE_XII_ESPECES_Ω","BCE-4X_ULTIME_ABSOLU","EXTRACTION_COMPLÈTE_ENGINES_ESPECES_Ω_V2","EN_ATTENTE_VALIDATION_COMMANDANT","TRUE","2026-04-29T03:20:22+00:00"
"ORIGNAL","ENGINE_ESPECE_ORIGNAL_Ω","A04","scientifique","nutrition_avancee","nutrition_avancee codée (mast/forage/sous-bois/agri) selon profil","ACCEPTÉ","PHASE_XII_ESPECES_Ω","BCE-4X_ULTIME_ABSOLU","EXTRACTION_COMPLÈTE_ENGINES_ESPECES_Ω_V2","EN_ATTENTE_VALIDATION_COMMANDANT","TRUE","2026-04-29T03:20:22+00:00"
"ORIGNAL","ENGINE_ESPECE_ORIGNAL_Ω","A05","scientifique","pression_humaine","compute_score_pression_humaine (routes, urb., agri.) — pondération Montgomery 2019","ACCEPTÉ","PHASE_XII_ESPECES_Ω","BCE-4X_ULTIME_ABSOLU","EXTRACTION_COMPLÈTE_ENGINES_ESPECES_Ω_V2","EN_ATTENTE_VALIDATION_COMMANDANT","TRUE","2026-04-29T03:20:22+00:00"
"ORIGNAL","ENGINE_ESPECE_ORIGNAL_Ω","A06","scientifique","maladies_parasites","oui — tique_risque","ACCEPTÉ","PHASE_XII_ESPECES_Ω","BCE-4X_ULTIME_ABSOLU","EXTRACTION_COMPLÈTE_ENGINES_ESPECES_Ω_V2","EN_ATTENTE_VALIDATION_COMMANDANT","TRUE","2026-04-29T03:20:22+00:00"
"ORIGNAL","ENGINE_ESPECE_ORIGNAL_Ω","A07","scientifique","thermoregulation","oui — seuil 15.5°C","ACCEPTÉ","PHASE_XII_ESPECES_Ω","BCE-4X_ULTIME_ABSOLU","EXTRACTION_COMPLÈTE_ENGINES_ESPECES_Ω_V2","EN_ATTENTE_VALIDATION_COMMANDANT","TRUE","2026-04-29T03:20:22+00:00"
"ORIGNAL","ENGINE_ESPECE_ORIGNAL_Ω","A08","scientifique","tolerance_neige","oui — seuil 65.0 cm","ACCEPTÉ","PHASE_XII_ESPECES_Ω","BCE-4X_ULTIME_ABSOLU","EXTRACTION_COMPLÈTE_ENGINES_ESPECES_Ω_V2","EN_ATTENTE_VALIDATION_COMMANDANT","TRUE","2026-04-29T03:20:22+00:00"
"ORIGNAL","ENGINE_ESPECE_ORIGNAL_Ω","A09","scientifique","sites_critiques","ZONES_CRITIQUES / RAVAGES / NIDIFICATION / DENNING selon espèce","ACCEPTÉ","PHASE_XII_ESPECES_Ω","BCE-4X_ULTIME_ABSOLU","EXTRACTION_COMPLÈTE_ENGINES_ESPECES_Ω_V2","EN_ATTENTE_VALIDATION_COMMANDANT","TRUE","2026-04-29T03:20:22+00:00"
"ORIGNAL","ENGINE_ESPECE_ORIGNAL_Ω","A10","scientifique","interactions_inter_especes","interactions inter-espèces documentées (corridors partagés, pressions cumulées)","ACCEPTÉ","PHASE_XII_ESPECES_Ω","BCE-4X_ULTIME_ABSOLU","EXTRACTION_COMPLÈTE_ENGINES_ESPECES_Ω_V2","EN_ATTENTE_VALIDATION_COMMANDANT","TRUE","2026-04-29T03:20:22+00:00"
"ORIGNAL","ENGINE_ESPECE_ORIGNAL_Ω","A11","scientifique","modeles_RSF_SSF_MaxEnt","Modèles RSF / SSF / MaxEnt référencés DOI (PLOS One, JWM, Frontiers, J. Applied Ecology)","ACCEPTÉ","PHASE_XII_ESPECES_Ω","BCE-4X_ULTIME_ABSOLU","EXTRACTION_COMPLÈTE_ENGINES_ESPECES_Ω_V2","EN_ATTENTE_VALIDATION_COMMANDANT","TRUE","2026-04-29T03:20:22+00:00"
"ORIGNAL","ENGINE_ESPECE_ORIGNAL_Ω","B01","technique","inputs_definis","temperature_c, snow_depth_cm, routes_density, urbanisation_pct, agriculture_pct, forest_patches_count, largest_patch_index, edge_density, summer_avg_temp_c, predation_index","ACCEPTÉ","PHASE_XII_ESPECES_Ω","BCE-4X_ULTIME_ABSOLU","EXTRACTION_COMPLÈTE_ENGINES_ESPECES_Ω_V2","EN_ATTENTE_VALIDATION_COMMANDANT","TRUE","2026-04-29T03:20:22+00:00"
"ORIGNAL","ENGINE_ESPECE_ORIGNAL_Ω","B02","technique","outputs_definis","HABITAT_THERMIQUE_ORIGNAL, CORRIDORS_ORIGNAL, RAVAGES_ORIGNAL, SCORE_RISQUE_TIQUE_ORIGNAL, SCORE_FRAGMENTATION_ORIGNAL","ACCEPTÉ","PHASE_XII_ESPECES_Ω","BCE-4X_ULTIME_ABSOLU","EXTRACTION_COMPLÈTE_ENGINES_ESPECES_Ω_V2","EN_ATTENTE_VALIDATION_COMMANDANT","TRUE","2026-04-29T03:20:22+00:00"
"ORIGNAL","ENGINE_ESPECE_ORIGNAL_Ω","B03","technique","dependances_internes","EspeceProfile + 4 fonctions de scoring + normalize_engine_output","ACCEPTÉ","PHASE_XII_ESPECES_Ω","BCE-4X_ULTIME_ABSOLU","EXTRACTION_COMPLÈTE_ENGINES_ESPECES_Ω_V2","EN_ATTENTE_VALIDATION_COMMANDANT","TRUE","2026-04-29T03:20:22+00:00"
"ORIGNAL","ENGINE_ESPECE_ORIGNAL_Ω","B04","technique","dependances_externes","typing (Any, Dict)","ACCEPTÉ","PHASE_XII_ESPECES_Ω","BCE-4X_ULTIME_ABSOLU","EXTRACTION_COMPLÈTE_ENGINES_ESPECES_Ω_V2","EN_ATTENTE_VALIDATION_COMMANDANT","TRUE","2026-04-29T03:20:22+00:00"
"ORIGNAL","ENGINE_ESPECE_ORIGNAL_Ω","B05","technique","couches_emises_zindex","habitat_especes_omega:800, corridors_especes_omega:805, zones_critiques_especes_omega:810","ACCEPTÉ","PHASE_XII_ESPECES_Ω","BCE-4X_ULTIME_ABSOLU","EXTRACTION_COMPLÈTE_ENGINES_ESPECES_Ω_V2","EN_ATTENTE_VALIDATION_COMMANDANT","TRUE","2026-04-29T03:20:22+00:00"
"ORIGNAL","ENGINE_ESPECE_ORIGNAL_Ω","B06","technique","formats_sortie_JSON","JSON normalize_engine_output (engine_marker, espece_id, layers_omega, scores_omega, style_palette, sources_count, sources_doi)","ACCEPTÉ","PHASE_XII_ESPECES_Ω","BCE-4X_ULTIME_ABSOLU","EXTRACTION_COMPLÈTE_ENGINES_ESPECES_Ω_V2","EN_ATTENTE_VALIDATION_COMMANDANT","TRUE","2026-04-29T03:20:22+00:00"
"ORIGNAL","ENGINE_ESPECE_ORIGNAL_Ω","B07","technique","contraintes_BCE4X_no_vulgarisation","Aucune vulgarisation, aucune opinion — sources triple validation GOV+UNI+PR + DOI","ACCEPTÉ","PHASE_XII_ESPECES_Ω","BCE-4X_ULTIME_ABSOLU","EXTRACTION_COMPLÈTE_ENGINES_ESPECES_Ω_V2","EN_ATTENTE_VALIDATION_COMMANDANT","TRUE","2026-04-29T03:20:22+00:00"
"ORIGNAL","ENGINE_ESPECE_ORIGNAL_Ω","B08","technique","sources_GOV_UNI_PR_DOI","GOV=5 | UNI=4 | PR=2 | DOI=10","ACCEPTÉ","PHASE_XII_ESPECES_Ω","BCE-4X_ULTIME_ABSOLU","EXTRACTION_COMPLÈTE_ENGINES_ESPECES_Ω_V2","EN_ATTENTE_VALIDATION_COMMANDANT","TRUE","2026-04-29T03:20:22+00:00"
"ORIGNAL","ENGINE_ESPECE_ORIGNAL_Ω","C01","metadonnees","ordre_execution_pipeline","PHASE_XII_ESPECES_Ω (orchestrateur engine_especes_omega.py)","ACCEPTÉ","PHASE_XII_ESPECES_Ω","BCE-4X_ULTIME_ABSOLU","EXTRACTION_COMPLÈTE_ENGINES_ESPECES_Ω_V2","EN_ATTENTE_VALIDATION_COMMANDANT","TRUE","2026-04-29T03:20:22+00:00"
"ORIGNAL","ENGINE_ESPECE_ORIGNAL_Ω","C02","metadonnees","compatibilite_ENGINE_IA_CORRIDORS_Ω","READ_ONLY ENGINE_IA_CORRIDORS_Ω (lecture amont, V30 SCELLÉ)","ACCEPTÉ","PHASE_XII_ESPECES_Ω","BCE-4X_ULTIME_ABSOLU","EXTRACTION_COMPLÈTE_ENGINES_ESPECES_Ω_V2","EN_ATTENTE_VALIDATION_COMMANDANT","TRUE","2026-04-29T03:20:22+00:00"
"ORIGNAL","ENGINE_ESPECE_ORIGNAL_Ω","C03","metadonnees","compatibilite_ENGINE_CONTAMINATION_SALINES_INSPECTION_BIO","Compatibilité contamination/salines/inspection BIO confirmée","ACCEPTÉ","PHASE_XII_ESPECES_Ω","BCE-4X_ULTIME_ABSOLU","EXTRACTION_COMPLÈTE_ENGINES_ESPECES_Ω_V2","EN_ATTENTE_VALIDATION_COMMANDANT","TRUE","2026-04-29T03:20:22+00:00"
"ORIGNAL","ENGINE_ESPECE_ORIGNAL_Ω","C04","metadonnees","performance_sub_1s","Performance < 1s — mesurée 0.01-0.04 ms / engine","ACCEPTÉ","PHASE_XII_ESPECES_Ω","BCE-4X_ULTIME_ABSOLU","EXTRACTION_COMPLÈTE_ENGINES_ESPECES_Ω_V2","EN_ATTENTE_VALIDATION_COMMANDANT","TRUE","2026-04-29T03:20:22+00:00"
"ORIGNAL","ENGINE_ESPECE_ORIGNAL_Ω","C05","metadonnees","marker_ENGINE_ESPECE_X_Ω","ENGINE_ESPECE_ORIGNAL_Ω","ACCEPTÉ","PHASE_XII_ESPECES_Ω","BCE-4X_ULTIME_ABSOLU","EXTRACTION_COMPLÈTE_ENGINES_ESPECES_Ω_V2","EN_ATTENTE_VALIDATION_COMMANDANT","TRUE","2026-04-29T03:20:22+00:00"
