"espece_id","section","subsection","champ","valeur","ordre","doctrine","activation_status"
"CHEVREUIL","classification","","famille","Cervidae","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"CHEVREUIL","classification","","genre","Odocoileus","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"CHEVREUIL","classification","","espece","virginianus","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"CHEVREUIL","classification","","nom_scientifique","Odocoileus virginianus","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"CHEVREUIL","comportements_saisonniers","printemps","deplacements","dispersion juvénile, recherche de végétation riche en protéines","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"CHEVREUIL","comportements_saisonniers","printemps","alimentation","dispersion juvénile, recherche de végétation riche en protéines","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"CHEVREUIL","comportements_saisonniers","printemps","reproduction","","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"CHEVREUIL","comportements_saisonniers","printemps","habitat","","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"CHEVREUIL","comportements_saisonniers","ete","thermoregulation","sélection d’habitats thermiques, évitement de chaleur excessive","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"CHEVREUIL","comportements_saisonniers","ete","habitat","sélection d’habitats thermiques, évitement de chaleur excessive","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"CHEVREUIL","comportements_saisonniers","ete","alimentation","","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"CHEVREUIL","comportements_saisonniers","automne","rut","rut, déplacements accrus, utilisation de mosaïques forestières","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"CHEVREUIL","comportements_saisonniers","automne","hyperphagie","","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"CHEVREUIL","comportements_saisonniers","automne","deplacements","rut, déplacements accrus, utilisation de mosaïques forestières","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"CHEVREUIL","comportements_saisonniers","hiver","ravages","dépendance aux zones de couvert dense, réduction des déplacements","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"CHEVREUIL","comportements_saisonniers","hiver","zones_refuge","dépendance aux zones de couvert dense, réduction des déplacements","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"CHEVREUIL","comportements_saisonniers","hiver","mobilite","dépendance aux zones de couvert dense, réduction des déplacements","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"CHEVREUIL","habitat","","types_couverts","mosaïques feuillus/conifères","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"CHEVREUIL","habitat","","types_couverts","zones de transition forêt-agriculture","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"CHEVREUIL","habitat","","types_couverts","forêts matures pour le couvert","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"CHEVREUIL","habitat","","types_couverts","clairières pour l’alimentation","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"CHEVREUIL","habitat","","mosaiques_foret_agriculture","mosaïques feuillus/conifères","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"CHEVREUIL","habitat","","mosaiques_foret_agriculture","zones de transition forêt-agriculture","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"CHEVREUIL","habitat","","zones_humides","","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"CHEVREUIL","habitat","","zones_thermiques","","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"CHEVREUIL","habitat","","zones_ouvertes","forêts matures pour le couvert","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"CHEVREUIL","habitat","","zones_ouvertes","clairières pour l’alimentation","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"CHEVREUIL","habitat","","zones_matures","forêts matures pour le couvert","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"CHEVREUIL","habitat","","zones_transition","zones de transition forêt-agriculture","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"CHEVREUIL","corridors","","corridors_reels_gps","","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"CHEVREUIL","corridors","","connectivite_optimum","corridors stables entre zones de repos ↔ alimentation","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"CHEVREUIL","corridors","","fragmentation_penalty","fragmentation = augmentation du risque de mortalité","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"CHEVREUIL","corridors","","zones_passage_essentielles","dispersion juvénile influencée par sexe (mâles dispersent davantage)","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"CHEVREUIL","corridors","","zones_passage_essentielles","évitement des zones agricoles lors des déplacements","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"CHEVREUIL","corridors","","distances_typiques","évitement des zones agricoles lors des déplacements","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"CHEVREUIL","nutrition","","besoins_proteines","besoins élevés en protéines au printemps","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"CHEVREUIL","nutrition","","besoins_energetiques","alimentation mixte : feuilles, bourgeons, glands, fruits, herbacées","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"CHEVREUIL","nutrition","","besoins_energetiques","dépendance aux glands (mast) en automne","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"CHEVREUIL","nutrition","besoins_mineraux","sodium","","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"CHEVREUIL","nutrition","besoins_mineraux","calcium","","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"CHEVREUIL","nutrition","besoins_mineraux","magnesium","","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"CHEVREUIL","nutrition","alimentation_saisonniere","printemps","besoins élevés en protéines au printemps","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"CHEVREUIL","nutrition","alimentation_saisonniere","ete","sélection de végétation riche en humidité en été (thermorégulation)","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"CHEVREUIL","nutrition","alimentation_saisonniere","automne","dépendance aux glands (mast) en automne","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"CHEVREUIL","nutrition","alimentation_saisonniere","hiver","","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"CHEVREUIL","sites_critiques","","mise_bas","Mise bas : zones isolées, couvert dense","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"CHEVREUIL","sites_critiques","","nidification","","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"CHEVREUIL","sites_critiques","","rut","Rut : clairières, mosaïques forestières","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"CHEVREUIL","sites_critiques","","rut","Frottis / rubs : zones de rut, corridors","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"CHEVREUIL","sites_critiques","","tanieres","Mise bas : zones isolées, couvert dense","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"CHEVREUIL","sites_critiques","","repos","Mise bas : zones isolées, couvert dense","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"CHEVREUIL","sites_critiques","","repos","Repos : forêts matures, zones thermiques","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"CHEVREUIL","sites_critiques","","alimentation","Rut : clairières, mosaïques forestières","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
"CHEVREUIL","sites_critiques","","eau","","n°24","BCE-4X_ULTIME_ABSOLU_x3","EN_ATTENTE_VALIDATION_COMMANDANT"
