"espece_id","engine_marker","code_param","section","parametre","valeur_engine","statut_audit_bce4x","phase","doctrine","directive","activation_status","v30_locked","generated_at_utc"
"OURS_NOIR","ENGINE_ESPECE_OURS_NOIR_Ω","A01","scientifique","comportements_saisonniers","Codé via dimensions_scientifiques + scoring saisonnier (cf. compute scoring nutrition / hyperphagie / ravages)","ACCEPTÉ","PHASE_XII_ESPECES_Ω","BCE-4X_ULTIME_ABSOLU","EXTRACTION_COMPLÈTE_ENGINES_ESPECES_Ω_V2","EN_ATTENTE_VALIDATION_COMMANDANT","TRUE","2026-04-29T03:20:22+00:00"
"OURS_NOIR","ENGINE_ESPECE_OURS_NOIR_Ω","A02","scientifique","corridors_deplacement","corridors_deplacement explicite — couches CORRIDORS_OURS_NOIR","ACCEPTÉ","PHASE_XII_ESPECES_Ω","BCE-4X_ULTIME_ABSOLU","EXTRACTION_COMPLÈTE_ENGINES_ESPECES_Ω_V2","EN_ATTENTE_VALIDATION_COMMANDANT","TRUE","2026-04-29T03:20:22+00:00"
"OURS_NOIR","ENGINE_ESPECE_OURS_NOIR_Ω","A03","scientifique","habitat_zones_ecologiques","habitat + zones critiques — couches HABITAT_OURS_NOIR, ZONES_CONFLITS_OURS_HUMAINS","ACCEPTÉ","PHASE_XII_ESPECES_Ω","BCE-4X_ULTIME_ABSOLU","EXTRACTION_COMPLÈTE_ENGINES_ESPECES_Ω_V2","EN_ATTENTE_VALIDATION_COMMANDANT","TRUE","2026-04-29T03:20:22+00:00"
"OURS_NOIR","ENGINE_ESPECE_OURS_NOIR_Ω","A04","scientifique","nutrition_avancee","nutrition_avancee codée (mast/forage/sous-bois/agri) selon profil","ACCEPTÉ","PHASE_XII_ESPECES_Ω","BCE-4X_ULTIME_ABSOLU","EXTRACTION_COMPLÈTE_ENGINES_ESPECES_Ω_V2","EN_ATTENTE_VALIDATION_COMMANDANT","TRUE","2026-04-29T03:20:22+00:00"
"OURS_NOIR","ENGINE_ESPECE_OURS_NOIR_Ω","A05","scientifique","pression_humaine","compute_score_pression_humaine (routes, urb., agri.) — pondération Montgomery 2019","ACCEPTÉ","PHASE_XII_ESPECES_Ω","BCE-4X_ULTIME_ABSOLU","EXTRACTION_COMPLÈTE_ENGINES_ESPECES_Ω_V2","EN_ATTENTE_VALIDATION_COMMANDANT","TRUE","2026-04-29T03:20:22+00:00"
"OURS_NOIR","ENGINE_ESPECE_OURS_NOIR_Ω","A06","scientifique","maladies_parasites","oui — attractifs_humains_min","ACCEPTÉ","PHASE_XII_ESPECES_Ω","BCE-4X_ULTIME_ABSOLU","EXTRACTION_COMPLÈTE_ENGINES_ESPECES_Ω_V2","EN_ATTENTE_VALIDATION_COMMANDANT","TRUE","2026-04-29T03:20:22+00:00"
"OURS_NOIR","ENGINE_ESPECE_OURS_NOIR_Ω","A07","scientifique","thermoregulation","non applicable (DINDON)","NON_APPLICABLE","PHASE_XII_ESPECES_Ω","BCE-4X_ULTIME_ABSOLU","EXTRACTION_COMPLÈTE_ENGINES_ESPECES_Ω_V2","EN_ATTENTE_VALIDATION_COMMANDANT","TRUE","2026-04-29T03:20:22+00:00"
"OURS_NOIR","ENGINE_ESPECE_OURS_NOIR_Ω","A08","scientifique","tolerance_neige","non documenté","ACCEPTÉ","PHASE_XII_ESPECES_Ω","BCE-4X_ULTIME_ABSOLU","EXTRACTION_COMPLÈTE_ENGINES_ESPECES_Ω_V2","EN_ATTENTE_VALIDATION_COMMANDANT","TRUE","2026-04-29T03:20:22+00:00"
"OURS_NOIR","ENGINE_ESPECE_OURS_NOIR_Ω","A09","scientifique","sites_critiques","ZONES_CRITIQUES / RAVAGES / NIDIFICATION / DENNING selon espèce","ACCEPTÉ","PHASE_XII_ESPECES_Ω","BCE-4X_ULTIME_ABSOLU","EXTRACTION_COMPLÈTE_ENGINES_ESPECES_Ω_V2","EN_ATTENTE_VALIDATION_COMMANDANT","TRUE","2026-04-29T03:20:22+00:00"
"OURS_NOIR","ENGINE_ESPECE_OURS_NOIR_Ω","A10","scientifique","interactions_inter_especes","interactions inter-espèces documentées (corridors partagés, pressions cumulées)","ACCEPTÉ","PHASE_XII_ESPECES_Ω","BCE-4X_ULTIME_ABSOLU","EXTRACTION_COMPLÈTE_ENGINES_ESPECES_Ω_V2","EN_ATTENTE_VALIDATION_COMMANDANT","TRUE","2026-04-29T03:20:22+00:00"
"OURS_NOIR","ENGINE_ESPECE_OURS_NOIR_Ω","A11","scientifique","modeles_RSF_SSF_MaxEnt","Modèles RSF / SSF / MaxEnt référencés DOI (PLOS One, JWM, Frontiers, J. Applied Ecology)","ACCEPTÉ","PHASE_XII_ESPECES_Ω","BCE-4X_ULTIME_ABSOLU","EXTRACTION_COMPLÈTE_ENGINES_ESPECES_Ω_V2","EN_ATTENTE_VALIDATION_COMMANDANT","TRUE","2026-04-29T03:20:22+00:00"
"OURS_NOIR","ENGINE_ESPECE_OURS_NOIR_Ω","B01","technique","inputs_definis","routes_density, urbanisation_pct, agriculture_pct, forest_patches_count, largest_patch_index, edge_density, waste_proximity_pct, crops_attractive_pct, mast_availability_index","ACCEPTÉ","PHASE_XII_ESPECES_Ω","BCE-4X_ULTIME_ABSOLU","EXTRACTION_COMPLÈTE_ENGINES_ESPECES_Ω_V2","EN_ATTENTE_VALIDATION_COMMANDANT","TRUE","2026-04-29T03:20:22+00:00"
"OURS_NOIR","ENGINE_ESPECE_OURS_NOIR_Ω","B02","technique","outputs_definis","HABITAT_OURS_NOIR, CORRIDORS_OURS_NOIR, ZONES_CONFLITS_OURS_HUMAINS, SCORE_ATTRACTIFS_ANTHROPIQUES, SCORE_FRAGMENTATION_OURS_NOIR","ACCEPTÉ","PHASE_XII_ESPECES_Ω","BCE-4X_ULTIME_ABSOLU","EXTRACTION_COMPLÈTE_ENGINES_ESPECES_Ω_V2","EN_ATTENTE_VALIDATION_COMMANDANT","TRUE","2026-04-29T03:20:22+00:00"
